Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Precious Achiuwa,0.20989557549843257,-0.3855586849002852,1.3474489147249984,-0.19463918208755712,0.6834063026531457,0.0859968036087439,0.5236284974835252,-0.2233096654152357,0.553247532249742
Steven Adams,-0.14874378946608188,0.8665181711591349,2.8359434207491936,0.7461168646689696,1.2380548961107716,0.8135969665872699,-1.756003755752448,-0.40685018889046376,0.8332622815870308
Bam Adebayo,1.8400745071553173,0.8665181711591349,2.8784718352070273,1.9220619231146279,1.2380548961107716,0.8809673520482446,-1.756003755752448,0.33437115591334277,1.4866300300407047
Santi Aldama,-0.6051938903300096,-0.6033111816062714,-0.26863083467269866,-0.9002062171549522,-0.14856658753329266,-0.163273622596862,-0.9622599349878334,-0.11742090187183464,-0.7223752147312404
LaMarcus Aldridge,0.8293635695280488,-0.4944349332532783,0.9221647701466571,-0.6650172054658205,1.7927034895683969,0.8338080822255624,0.17438121634709486,0.7579262100869466,0.4184256159021585
Nickeil Alexander-Walker,0.45442241524696525,0.3221369293941696,-0.18357400575703048,0.27573884129070614,0.12875770919552024,-0.365384778979786,0.21883087030991333,0.29907490139887577,0.44953836582852397
Nickeil Alexander-Walker,0.81306178021148,0.5398894261001557,-0.013460347925693983,0.510927852979838,0.12875770919552024,-0.3451736633414936,0.21883087030991333,0.22495276691849503,0.8332622815870308
Nickeil Alexander-Walker,-0.7030046262294226,-0.3855586849002852,-0.7789718081667083,-0.6650172054658205,-0.14856658753329266,-0.6281292822775868,0.16803126578097793,0.9132297299506015,-0.8675680477209458
Grayson Allen,0.5359313618298095,-0.16780618819429913,0.02906806653214019,0.27573884129070614,-0.14856658753329266,0.1466301505236211,0.8411260257893711,0.7296892064753729,0.9369714480082488
Jarrett Allen,1.351020827658252,-0.11336806401780254,3.176170736411867,0.510927852979838,2.6246763797548356,1.6894119775799399,-1.1210086991407562,0.17553801059824123,1.455517280114339
Jose Alvarado,-0.2791581039986328,0.5398894261001557,-0.6088581503353718,1.6868729114254966,-0.7032151809909182,0.13315607343142616,0.09183185898757486,0.07317887250628725,-0.2971676324042464
Justin Anderson,-0.2302527360489261,0.1588225568646801,-0.18357400575703048,-0.19463918208755712,0.12875770919552024,-0.31822550915710374,-0.14311631195875094,0.46143767216542403,0.15915269984911326
Justin Anderson,-0.5725903116968719,0.10438443268818352,-0.5663297358775377,-0.6650172054658205,-0.980539477719731,0.496956154920689,0.3585297827644856,0.3237822795590027,-0.26605488247788106
Justin Anderson,-0.1650455787826508,0.1588225568646801,-0.09851717684136214,-0.19463918208755712,0.40608200592433297,-0.3923329331641759,-0.20026586705380325,0.5002635521313378,0.2524909496282094
Kyle Anderson,-0.03463126425010008,0.4854513019236593,0.8371079412309888,1.2164948880472333,0.9607305993819585,0.13315607343142616,0.3394799310661349,-0.0715357710030275,0.3354582827651839
Giannis Antetokounmpo,3.6006677533447524,2.1730331513950514,3.5163980520745395,1.2164948880472333,2.902000676483648,0.8540191978638547,0.1045317601198087,0.22495276691849503,1.51774277996707
Thanasis Antetokounmpo,-0.6867028369128538,-0.7121874299592644,-0.5238013214197035,-0.6650172054658205,-0.14856658753329266,0.8135969665872699,-0.8479608247977288,-0.09977277461460113,-0.8675680477209458
Carmelo Anthony,0.8945707267943243,-0.4399968090767818,0.3692953821948134,0.27573884129070614,1.2380548961107716,0.09947088070093883,0.625227706541396,0.6061523156747385,0.8021495316606653
Cole Anthony,1.3836244062913896,2.118595027218555,0.8796363556888231,0.27573884129070614,-0.14856658753329266,-0.23738104660393414,0.3902795355950702,0.6908633265094593,1.3932917802616083
OG Anunoby,1.5140387208239405,0.43101317774716275,0.9221647701466571,2.1572509348037596,0.40608200592433297,0.11294495779313377,0.5490282997479929,0.3379007813647895,1.839241195872846
Ryan Arcidiacono,-1.0127386232442308,-0.766625554135761,-1.0766707093715473,-1.1353952288440838,-0.980539477719731,0.496956154920689,1.0633742956034633,-2.3234368090260213,-1.1060991304897474
Trevor Ariza,-0.6214956796465785,-0.3855586849002852,0.02906806653214019,-0.19463918208755712,-0.14856658753329266,-0.6281292822775868,-0.04151710290088017,-0.3609650580216567,0.1072981166385042
D.J. Augustin,-0.4095724185311835,0.049946308511686945,-0.9065570515402108,-0.6650172054658205,-0.980539477719731,-0.021795813128815573,0.8792257291860727,0.7967520900528603,-0.22457121590939358
D.J. Augustin,-0.39327062921461453,0.21326068104117668,-0.9065570515402108,-0.6650172054658205,-0.980539477719731,-0.14979954550466706,0.8220761740910206,0.7402780828297131,-0.3386512989727336
D.J. Augustin,-0.4095724185311835,-0.11336806401780254,-0.8640286370823765,-0.6650172054658205,-0.980539477719731,0.18031534325410842,0.9490751854133588,1.2061886424206774,-0.04826563299332291
Deni Avdija,0.0957830502824508,0.10438443268818352,0.7945795267731548,0.27573884129070614,0.40608200592433297,0.038837533786061626,0.2569305737066149,0.3484896577191296,0.6154730321024726
Joel Ayayi,-1.2246618843596258,-0.6577493057827678,-1.246784367202884,-1.3705842405332156,-0.980539477719731,-1.7464776809297655,-1.756003755752448,-2.3234368090260213,-1.5935322126694724
Deandre Ayton,1.530340510140509,-0.2222443123707957,2.9210002496648615,0.27573884129070614,0.9607305993819585,1.3997193200977487,0.5807780525785776,0.3096637777532159,1.1651316141349286
Udoka Azubuike,-0.5073831544305965,-0.984378050841747,0.3692953821948134,-1.1353952288440838,0.6834063026531457,2.2149009841755416,-1.756003755752448,-0.39979093798757037,-0.7016333814469969
