Player,Goals Per Game,Assists Per Game,Shot Conversion Rate,Tackles Per Game,Interceptions Per Game
Bernd Leno,,-0.5419202942372428,-0.20846124442329253,,
Matt Macey,,-0.5419202942372428,-0.20846124442329253,,
RÃºnar Alex RÃºnarsson,,-0.5419202942372428,-0.20846124442329253,,
HÃ©ctor BellerÃ­n,,1.3036253598947591,-0.20846124442329253,0.0279098458032408,0.6520643442553337
Kieran Tierney,,-0.4393899801187982,-0.20846124442329253,-0.0029028382601056727,-0.22402543097914146
William Saliba,,-0.5419202942372428,-0.20846124442329253,,
Sokratis,,-0.33685966600035366,-0.20846124442329253,0.2562038231816724,0.13799513729956725
Rob Holding,,-0.5419202942372428,-0.20846124442329253,-0.11751099239816311,0.6792600357260269
Shkodran Mustafi,,-0.13179903776346458,-0.20846124442329253,0.8319964041634014,1.7188182854499285
Calum Chambers,,-0.23432935188190912,-0.20846124442329253,0.6582398251854424,1.4118387340270235
David Luiz,,0.17579190459186908,-0.20846124442329253,-0.09581737525524867,1.4058135604364468
Sead Kolasinac,,0.5859131610656473,-0.20846124442329253,0.14918541000128452,0.051667155633106
Gabriel MagalhÃ£es,,-0.5419202942372428,-0.20846124442329253,-0.38806138905193793,0.1741971941274381
Mesut Ãzil,-0.3089705071434768,4.994716668158763,-0.20765540649382072,-0.5421248093686708,-0.76941728710337
Lucas Torreira,-0.32524255957543724,-0.23432935188190912,-0.20746367935359614,0.257537705608657,0.47760490849435583
Ainsley Maitland-Niles,-0.3289976485981973,-0.23432935188190912,-0.20715015890312014,0.684676500560869,0.4101809719683741
Mohamed Elneny,5.551471761044103,-0.23432935188190912,0.7718731558874234,-0.1258257800021797,-0.029150529331240776
Joseph Willock,-0.32774595225727726,-0.4393899801187982,-0.20693164464975805,-0.5001075129186529,-1.129076851675913
Matteo Guendouzi,6.803168101964133,-0.4393899801187982,1.7290318020536783,0.0011514622745453086,0.2300880888792389
Emile Smith Rowe,-0.08116177309603138,-0.5419202942372428,-0.20846124442329253,-1.0043150703188697,-0.622248056085721
Granit Xhaka,-0.32399086323451715,0.7909737893025364,-0.2080788444799089,0.7510742035929964,0.18626454640339504
Bukayo Saka,-0.3264942559163572,-0.029268723645020034,-0.2060138847856374,-0.035916428327976896,-0.7360259489733152
Dani Ceballos,2.9229094451120403,-0.23432935188190912,1.4959499318008096,0.7022335854972488,0.8481124058462651
Alexandre Lacazette,-0.28268488398415614,1.0985647316578702,-0.20670670350659123,-0.47520837428160506,-0.9359992152606019
Pierre-Emerick Aubameyang,-0.2526441718020755,0.7909737893025364,-0.20585679075484198,-0.7988971765632258,-0.9609661510039611
Nicolas PÃ©pÃ©,-0.3127255961662369,0.07326159047342452,-0.20576195070529055,-0.42541009700750954,-1.0325380334682575
Reiss Nelson,-0.32524255957543724,-0.5419202942372428,-0.20493139879205918,-0.6961882296854037,-0.9408261561709845
Eddie Nketiah,-0.31022220348439683,-0.5419202942372428,-0.20066028557826682,-1.1382832618986374,-1.2801810888705047
Gabriel Martinelli,-0.30521541812071673,-0.5419202942372428,-0.1924004468011808,0.1401560520340035,-1.0773596276360977
Willian,-0.31147389982531687,3.0466406999083167,-0.20808760173052074,-0.3358365008089775,-0.7437397044233216
Tom Heaton,,-0.5419202942372428,-0.20846124442329253,,
Jed Steer,,-0.5419202942372428,-0.20846124442329253,,
Ãrjan Nyland,,-0.5419202942372428,-0.20846124442329253,,
Lovre Kalinic,,-0.5419202942372428,-0.20846124442329253,,
Emiliano MartÃ­nez,,-0.5419202942372428,-0.20846124442329253,,
Neil Taylor,,-0.029268723645020034,-0.20846124442329253,0.6404447548556306,1.2288005599269316
Ezri Konsa Ngoyo,,-0.33685966600035366,-0.20846124442329253,-0.7198902943495166,0.2354622133746043
Matt Targett,,0.07326159047342452,-0.20846124442329253,0.4678465015965782,1.3246181111020014
BjÃ¶rn Engels,,-0.5419202942372428,-0.20846124442329253,-0.8230639875933015,1.2048910473444674
FrÃ©dÃ©ric Guilbert,,-0.33685966600035366,-0.20846124442329253,2.027653041514434,1.7033720745367036
Ahmed El Mohamady,,0.7909737893025364,-0.20846124442329253,0.17767969538983544,0.7225693336184655
