Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
D.J. Augustin,0.17320261437908496,0.1759259259259259,0.0816326530612245,0.12,0.0,0.423,0.415,0.884,0.35529411764705887
D.J. Augustin,0.17647058823529413,0.20370370370370372,0.0816326530612245,0.12,0.0,0.404,0.406,0.868,0.3294117647058823
D.J. Augustin,0.17320261437908496,0.14814814814814814,0.08843537414965988,0.12,0.0,0.453,0.426,1.0,0.3952941176470588
Deni Avdija,0.27450980392156865,0.18518518518518517,0.3537414965986395,0.27999999999999997,0.17857142857142858,0.432,0.317,0.757,0.5458823529411764
Joel Ayayi,0.00980392156862745,0.05555555555555555,0.0272108843537415,0.0,0.0,0.167,0.0,0.0,0.04470588235294118
Deandre Ayton,0.5620915032679739,0.12962962962962962,0.6938775510204082,0.27999999999999997,0.25,0.634,0.368,0.746,0.6705882352941176
Udoka Azubuike,0.15359477124183007,0.0,0.28571428571428575,0.04000000000000001,0.21428571428571427,0.755,0.0,0.545,0.24705882352941175
Marvin Bagley III,0.369281045751634,0.07407407407407407,0.4761904761904762,0.2,0.14285714285714288,0.504,0.237,0.663,0.5388235294117646
Marvin Bagley III,0.303921568627451,0.05555555555555555,0.489795918367347,0.12,0.14285714285714288,0.463,0.242,0.745,0.4917647058823529
Marvin Bagley III,0.477124183006536,0.10185185185185186,0.46258503401360546,0.27999999999999997,0.14285714285714288,0.555,0.229,0.593,0.6164705882352941
LaMelo Ball,0.6568627450980393,0.7037037037037036,0.45578231292517013,0.6400000000000001,0.14285714285714288,0.429,0.389,0.872,0.736470588235294
Lonzo Ball,0.4248366013071896,0.47222222222222215,0.3673469387755103,0.7200000000000001,0.32142857142857145,0.423,0.423,0.75,0.7905882352941176
Mo Bamba,0.3464052287581699,0.1111111111111111,0.5510204081632654,0.2,0.6071428571428571,0.48,0.381,0.781,0.5811764705882353
Desmond Bane,0.5947712418300654,0.25,0.2993197278911565,0.48,0.14285714285714288,0.461,0.436,0.903,0.6776470588235294
